ID,Link,Title,Subtitle,Extra
1013129,https://book.douban.com/subject/1013129/,哈利·波特与凤凰社,,[英] J. K. 罗琳|马爱农|人民文学出版社|2003-9|59.00元
3608208,https://book.douban.com/subject/3608208/,牧羊少年奇幻之旅,,[巴西]保罗·柯艾略|丁文林|南海出版公司|2009-3-1|25.00元
1003000,https://book.douban.com/subject/1003000/,悟空传,修订版,今何在|光明日报出版社|2001-4|14.80元
1066462,https://book.douban.com/subject/1066462/,向左走·向右走,,幾米|生活·读书·新知三联书店|2002-8|16.00元
1045818,https://book.douban.com/subject/1045818/,苏菲的世界,,（挪威）乔斯坦·贾德|萧宝森|作家出版社|1999-04|26.80元
2295163,https://book.douban.com/subject/2295163/,哈利·波特与死亡圣器,,[英] J. K. 罗琳|马爱农|人民文学出版社|2007-10|66.00元
1255625,https://book.douban.com/subject/1255625/,天龙八部,,金庸|生活.读书.新知三联书店|1994-5|96.0
1043815,https://book.douban.com/subject/1043815/,骆驼祥子,,老舍|人民文学出版社|2000-3-1|12.00
26382433,https://book.douban.com/subject/26382433/,无声告白,,[美] 伍绮诗|孙璐|江苏凤凰文艺出版社|2015-7|35.00元
4908885,https://book.douban.com/subject/4908885/,局外人,,[法] 阿尔贝·加缪|柳鸣九|上海译文出版社|2010-8|22.00元
1085799,https://book.douban.com/subject/1085799/,白鹿原,,陈忠实|人民文学出版社|1997-12|28.00元
1119522,https://book.douban.com/subject/1119522/,呼啸山庄,,（英）勃朗特|张扬|人民文学出版社|1999-01-01|27.30元
1085860,https://book.douban.com/subject/1085860/,基督山伯爵,,大仲马|周克希|上海译文出版社|1991-12-1|43.90元
1529893,https://book.douban.com/subject/1529893/,莲花,,安妮宝贝|作家出版社|2006-3|25.00元
3369793,https://book.douban.com/subject/3369793/,亲爱的安德烈,,龙应台|人民文学出版社|2008-12|26.00
1013380,https://book.douban.com/subject/1013380/,茶花女,,小仲马|王振孙|外国文学出版社|1997-3|9.00元
2143732,https://book.douban.com/subject/2143732/,灿烂千阳,,[美] 卡勒德·胡赛尼|李继宏|上海人民出版社|2007-9|28.00元
