MovieLink	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9
https://movie.douban.com/subject/1306029/	0	2.8666666666666667	1	1.9333333333333333	16.333333333333336	4.533333333333333	10.600000000000001	4.866666666666667	0
https://movie.douban.com/subject/24405378/	0	3.8	0.9333333333333333	1.8666666666666667	8.466666666666667	2.8	10.933333333333334	2.8	0
https://movie.douban.com/subject/26311973/	0	2.8	1.5333333333333332	1.9333333333333333	6.466666666666667	2.533333333333333	10.0	3.466666666666667	0
https://movie.douban.com/subject/1292656/	1	1	0.9333333333333333	2.666666666666667	13.8	2.333333333333333	10.2	3.9333333333333336	0
https://movie.douban.com/subject/26607693/	0	2.7333333333333334	1.9333333333333333	0.9333333333333333	12.933333333333335	2.666666666666667	9.533333333333335	1.8666666666666667	0.9333333333333333
https://movie.douban.com/subject/4023638/	0	1.8666666666666667	0.8	1.8666666666666667	9.866666666666667	1.9333333333333333	10.333333333333336	3.8666666666666667	0
https://movie.douban.com/subject/27622447/	0	3.7333333333333334	1.9333333333333333	2.8666666666666667	9.400000000000002	1.2666666666666666	8.333333333333334	2.8	0
https://movie.douban.com/subject/2334904/	0	1.8	1.8666666666666667	2.7333333333333334	11.466666666666667	2.9333333333333336	11.666666666666668	2.8	0
https://movie.douban.com/subject/30163509/	0	3.7333333333333334	1.7333333333333334	0.9333333333333333	8.600000000000001	2.8666666666666667	11.600000000000001	0.9333333333333333	0.8
https://movie.douban.com/subject/26366496/	0	2.533333333333333	1.7333333333333334	1.6	8.466666666666667	1.9333333333333333	6.733333333333333	1.7333333333333334	0.8
https://movie.douban.com/subject/3075287/	0	1.8666666666666667	1.9333333333333333	1.6	12.400000000000002	2.7333333333333334	11.200000000000003	3.7333333333333334	0
https://movie.douban.com/subject/3287562/	0	2.8666666666666667	0.9333333333333333	1.9333333333333333	12.866666666666669	2	9.333333333333334	5.800000000000001	0
https://movie.douban.com/subject/6973376/	0	2.6	0	2.533333333333333	9.4	2.666666666666667	10.200000000000001	3.533333333333333	0
https://movie.douban.com/subject/4739952/	0	1.9333333333333333	0.6	2.333333333333333	6.6000000000000005	0.8	12.533333333333333	1.9333333333333333	0
https://movie.douban.com/subject/1292000/	0	3.9333333333333336	1	2	10.4	3.9333333333333336	7.733333333333334	2	0
https://movie.douban.com/subject/26366465/	0	1.8666666666666667	0	0.9333333333333333	10.066666666666666	2.4000000000000004	8.733333333333334	2.8	0
https://movie.douban.com/subject/2149806/	0	2.8666666666666667	1	1.9333333333333333	6.533333333333334	2.8666666666666667	11.600000000000001	3.8	0
https://movie.douban.com/subject/25717233/	0	2.6	1.7333333333333334	1.7333333333333334	10.733333333333336	3.533333333333333	8.533333333333333	3.7333333333333334	0.9333333333333333
https://movie.douban.com/subject/24773958/	0	1.8666666666666667	1.7333333333333334	0.9333333333333333	9.266666666666667	1.8666666666666667	8.533333333333335	1.8666666666666667	0
https://movie.douban.com/subject/1780330/	0	3	2	1	10.533333333333333	2.8	8.666666666666666	0	0.9333333333333333
https://movie.douban.com/subject/1291832/	0	2.8666666666666667	1	2	12.066666666666668	1.9333333333333333	4.666666666666667	2.8666666666666667	0
https://movie.douban.com/subject/1851857/	0	3.8	1.8	2	10.733333333333334	5	9.466666666666667	2	0
