User_link	1	2	3	4	5	6	7	8
https://www.douban.com/people/35162843/	0	0	1	0	0	11	0	3
https://www.douban.com/people/49020270/	1	1	1	6	0	2	0	4
https://www.douban.com/people/53672944/	3	0	3	0	0	2	2	2
https://www.douban.com/people/69460067/	0	1	1	3	1	5	0	2
https://www.douban.com/people/ThinkingCat/	0	0	1	1	2	5	0	5
https://www.douban.com/people/chenqiao2015/	4	0	3	3	0	3	0	0
https://www.douban.com/people/dimension7/	0	0	4	7	0	1	0	1
https://www.douban.com/people/gxwangdi/	0	0	1	0	0	10	0	2
https://www.douban.com/people/haizi0001000/	3	0	1	2	0	1	5	1
https://www.douban.com/people/jiadunzhenji/	0	0	1	3	2	6	0	0
https://www.douban.com/people/jiangxulin/	0	0	1	9	0	2	0	0
https://www.douban.com/people/johnathan/	1	0	2	8	0	1	1	4
https://www.douban.com/people/leeforce/	2	2	1	5	0	2	1	1
https://www.douban.com/people/livingston/	2	0	2	5	0	1	0	5
https://www.douban.com/people/lydy/	2	7	0	3	0	0	0	0
https://www.douban.com/people/mado1983/	2	4	1	7	0	0	0	0
https://www.douban.com/people/maindesign/	3	0	1	1	0	2	4	3
https://www.douban.com/people/ouyangzhu/	0	9	0	2	0	0	1	1
https://www.douban.com/people/sangwf/	1	0	2	0	0	5	0	6
https://www.douban.com/people/sea829/	0	0	3	1	0	5	0	5
https://www.douban.com/people/yezzi/	1	0	1	2	0	7	0	3
https://www.douban.com/people/yican/	3	6	0	3	0	0	1	1
https://www.douban.com/people/103655846/	1	0	0	7	1	2	1	0
https://www.douban.com/people/10602127/	0	4	0	0	2	3	1	1
https://www.douban.com/people/115637203/	2	0	1	7	1	1	0	0
https://www.douban.com/people/167077359/	3	3	3	0	1	1	0	1
https://www.douban.com/people/33666915/	4	1	2	1	0	3	0	1
https://www.douban.com/people/36565635/	0	0	1	5	2	1	1	1
https://www.douban.com/people/4538601/	0	0	1	0	0	11	0	1
https://www.douban.com/people/50282970/	0	1	3	1	0	6	0	0
https://www.douban.com/people/52518122/	1	2	2	0	3	0	2	1
https://www.douban.com/people/69208374/	1	2	4	3	0	1	0	1
https://www.douban.com/people/79185868/	0	1	2	2	0	4	2	2
https://www.douban.com/people/boylinyu/	4	2	2	2	0	0	1	2
https://www.douban.com/people/ddragon/	0	0	0	0	0	9	0	3
https://www.douban.com/people/futureless/	4	2	2	1	0	0	2	0
https://www.douban.com/people/luyutao/	3	3	1	6	0	0	0	1
https://www.douban.com/people/nazigod/	0	0	2	6	0	3	0	1
https://www.douban.com/people/penddy/	4	0	2	2	0	6	0	0
https://www.douban.com/people/savawolf/	3	0	2	2	0	7	0	1
https://www.douban.com/people/101560136/	0	0	3	2	1	1	1	3
https://www.douban.com/people/106658069/	0	2	0	3	0	2	3	0
https://www.douban.com/people/150000452/	0	0	1	3	0	7	0	0
https://www.douban.com/people/155536787/	0	0	2	4	0	2	0	2
https://www.douban.com/people/164565492/	0	1	0	0	0	4	0	6
https://www.douban.com/people/171270948/	2	1	3	1	0	3	0	1
https://www.douban.com/people/1999860/	0	0	2	5	0	4	0	0
https://www.douban.com/people/2429292/	0	0	0	6	2	1	0	1
https://www.douban.com/people/26565132/	6	3	1	1	0	0	0	0
https://www.douban.com/people/35808230/	1	0	1	0	0	9	0	1
https://www.douban.com/people/44652353/	1	7	0	0	0	0	2	0
https://www.douban.com/people/54238983/	3	2	3	1	2	0	0	0
https://www.douban.com/people/62513788/	1	2	3	4	1	1	0	0
https://www.douban.com/people/69521905/	1	0	4	2	0	3	1	0
https://www.douban.com/people/70359008/	0	0	1	3	0	2	0	4
https://www.douban.com/people/72682782/	1	0	0	1	0	5	2	4
https://www.douban.com/people/75288890/	1	0	2	2	0	2	0	4
https://www.douban.com/people/78197287/	0	0	2	6	0	1	1	1
https://www.douban.com/people/Shirleysays/	2	1	1	0	1	3	2	1
https://www.douban.com/people/batongyang/	1	1	4	4	1	0	0	0
https://www.douban.com/people/biechudelily/	1	0	2	1	0	7	0	0
https://www.douban.com/people/feliciafay/	0	0	3	3	0	5	0	1
https://www.douban.com/people/huoxiaohuang/	0	3	1	1	0	5	0	0
https://www.douban.com/people/ijoy/	2	1	1	1	0	0	1	4
https://www.douban.com/people/insidejudy/	0	2	2	1	0	4	2	1
https://www.douban.com/people/lalaqingla/	2	6	0	0	1	0	1	0
https://www.douban.com/people/leisurewilliam/	0	2	3	5	0	1	0	2
https://www.douban.com/people/lianlian725/	5	0	2	2	0	0	2	0
https://www.douban.com/people/maichao/	3	2	2	2	1	0	1	0
https://www.douban.com/people/outman2011/	0	9	0	0	1	0	0	0
https://www.douban.com/people/sarahwinner/	6	3	1	2	0	1	0	0
https://www.douban.com/people/shamumu/	4	0	3	3	0	0	1	0
https://www.douban.com/people/shenshike/	2	0	0	5	0	0	1	2
https://www.douban.com/people/tin/	0	2	1	5	1	0	1	0
https://www.douban.com/people/tuxiaoshu/	3	0	0	4	0	2	0	1
https://www.douban.com/people/waitingbaby/	5	0	0	1	0	2	3	2
https://www.douban.com/people/xiaozhu-shuo/	0	0	1	2	0	5	0	3
https://www.douban.com/people/yangqiaoqiao/	2	6	0	1	1	0	0	0
https://www.douban.com/people/zhangaiyin/	1	2	1	5	0	0	2	0
https://www.douban.com/people/zhangjiawei/	3	6	0	0	0	0	1	0
https://www.douban.com/people/zhifeige/	0	4	0	2	1	4	0	1
https://www.douban.com/people/zhudouhaipa/	1	1	1	2	0	3	1	1
https://www.douban.com/people/1058951/	1	0	1	8	0	0	0	0
https://www.douban.com/people/1075731/	1	8	0	0	0	0	0	0
https://www.douban.com/people/1155527/	0	5	0	1	0	0	3	0
https://www.douban.com/people/120516900/	1	2	0	2	1	0	3	1
https://www.douban.com/people/121699229/	2	0	4	0	0	4	0	0
https://www.douban.com/people/131101112/	1	0	3	0	0	5	0	3
https://www.douban.com/people/1345666/	2	2	7	2	0	0	1	0
https://www.douban.com/people/139601631/	0	1	1	2	0	3	1	2
https://www.douban.com/people/143291523/	2	0	2	1	3	1	0	1
https://www.douban.com/people/146851465/	0	0	2	3	0	5	0	0
https://www.douban.com/people/150164230/	1	1	2	2	0	4	0	0
https://www.douban.com/people/161206792/	1	8	0	1	0	0	0	0
